,S.No,Parliament Constituency,Leading Candidate,Total Votes,Margin,party
137,2,CHENNAI SOUTH(3),T.SUMATHY (ALIAS) THAMIZHACHI THANGAPANDIAN,143022,47584,Dravida Munnetra Kazhagam
138,132,ALWAR(8),BHUPENDER YADAV,623426,48334,Bharatiya Janata Party
139,17,Jalaun(45),NARAYAN DAS AHIRWAR,440405,48447,Samajwadi Party
140,10,KALLAKURICHI(14),MALAIYARASAN D,499219,48830,Dravida Munnetra Kazhagam
141,30,Jaunpur(73),BABU SINGH KUSHWAHA,273261,49170,Samajwadi Party
142,170,Gonda(59),KIRTIVARDHAN SINGH,456179,49299,Bharatiya Janata Party
143,86,Zahirabad(5),SURESH KUMAR SHETKAR,518101,49947,Indian National Congress
144,1,Bathinda(11),HARSIMRAT KAUR BADAL,375019,50000,Shiromani Akali Dal
145,50,Nagaland(1),S SUPONGMEREN JAMIR,401302,50383,Indian National Congress
146,196,RAJNANDGAON(6),SANTOSH PANDEY,625329,50498,Bharatiya Janata Party
147,38,Ramtek (9),Shyamkumar (Babalu) Daulat Barve,388167,50526,Indian National Congress
148,200,BASTAR(10),MAHESH KASHYAP,440470,51522,Bharatiya Janata Party
149,7,Mumbai South Central(30),ANIL YESHWANT DESAI,395138,53384,Shiv Sena
150,1,Araku (ST)(1),GUMMA THANUJA RANI,434799,53434,Yuvajana Sramika Rythu Congress Party
151,60,BHARATPUR (9),SANJNA JATAV,572808,53539,Indian National Congress
152,23,Shrawasti(58),RAM SHIROMANI VERMA,353977,53573,Samajwadi Party
153,1,Kokrajhar (1),JOYANTA BASUMATARY,358391,53633,"United People’s Party, Liberal"
154,1,Patliputra(31),MISHA BHARTI,295362,53675,Rashtriya Janata Dal
155,130,BIKANER (2),ARJUN RAM MEGHWAL,561240,54274,Bharatiya Janata Party
156,220,Secunderabad(8),G. KISHAN REDDY,470279,54773,Bharatiya Janata Party
157,3,Baharampur(10),PATHAN YUSUF,380145,55047,All India Trinamool Congress
158,75,GWALIOR(3),BHARAT SINGH KUSHWAH,612360,55164,Bharatiya Janata Party
159,110,Ratnagiri- Sindhudurg(46),NARAYAN TATU RANE,418918,55286,Bharatiya Janata Party
160,2,Aurangabad(19),BHUMARE SANDIPANRAO ASARAM,299376,55808,Shiv Sena
161,6,Barrackpur(15),PARTHA BHOWMICK,323757,56745,All India Trinamool Congress
162,14,Pratapgarh(39),SHIV PAL SINGH PATEL (DR. S P SINGH),397097,57512,Samajwadi Party
163,224,Dadar & Nagar Haveli(2),DELKAR KALABEN MOHANBHAI,121074,57584,Bharatiya Janata Party
164,33,Pathanamthitta(17),ANTO ANTONY,336266,58929,Indian National Congress
165,4,Aurangabad(37),ABHAY KUMAR SINHA,281524,59104,Rashtriya Janata Dal
166,128,Aska(19),ANITA SUBHADARSHINI,316268,59305,Bharatiya Janata Party
167,27,Asansol(40),SHATRUGHAN PRASAD SINHA,598943,59780,All India Trinamool Congress
168,164,Akbarpur(44),DEVENDRA SINGH ALIAS BHOLE SINGH,427397,60826,Bharatiya Janata Party
169,1,Vaishali(16),VEENA DEVI,398748,60932,Lok Janshakti Party
170,168,Baharaich(56),ANAND KUMAR,511594,61023,Bharatiya Janata Party
171,5,Krishnanagar(12),MAHUA MOITRA,610499,61064,All India Trinamool Congress
172,25,Nawada(39),VIVEK THAKUR,334111,61529,Bharatiya Janata Party
173,4,Rajampet(24),P V MIDHUN REDDY,509618,61709,Yuvajana Sramika Rythu Congress Party
174,1,VILUPPURAM(13),RAVIKUMAR. D,364340,61815,Viduthalai Chiruthaigal Katchi
175,174,Kushi Nagar(65),VIJAY KUMAR DUBAY,396690,62569,Bharatiya Janata Party
176,31,Alappuzha(15),K. C VENUGOPAL,397984,62785,Indian National Congress
177,16,Madhubani(6),ASHOK KUMAR YADAV,254102,62904,Bharatiya Janata Party
178,54,GURGAON(9),RAO INDERJIT SINGH,696900,63003,Bharatiya Janata Party
179,74,BHIND(2),SANDHYA RAY,533462,63293,Bharatiya Janata Party
180,18,Banda(48),KRISHNA DEVI SHIVSHANKER PATEL,360682,63599,Samajwadi Party
181,15,Etawah(41),JITENDRA KUMAR DOHARE,440276,63669,Samajwadi Party
